date,rcc,gcc,bcc,brt,night.filtered,spline.filtered,max.filtered
2016-11-01,0.413590853716508,0.349490569683759,0.233688108755394,199.584685287822,0.349490569683759,0.349490569683759,0.356417125557839
2016-11-02,0.369184684282916,0.351856127535084,0.278665325066768,186.126789576681,0.351856127535084,0.351856127535084,0.357820620350516
2016-11-03,0.424675615608097,0.347569149324504,0.22344438114368,212.488418380271,0.347569149324504,0.347569149324504,0.360622229321448
2016-11-04,0.398968710321581,0.35975317503464,0.240535116505664,132.778554587134,0.35975317503464,0.35975317503464,0.36096214329572
2016-11-05,0.383273121511965,0.355729249520736,0.262235911080714,151.44022403287,0.355729249520736,0.355729249520736,0.361975947319018
2016-11-06,0.393776284472562,0.35067957466261,0.256842630238988,178.926629791806,0.35067957466261,0.35067957466261,0.357436079560311
2016-11-07,0.399835973094404,0.349372376152501,0.250796127789907,196.356636918101,0.349372376152501,0.349372376152501,0.355447291629988
2016-11-08,0.394551721068441,0.351639114789787,0.253809164141772,137.64232545451,0.351639114789787,0.351639114789787,0.352932052630885
2016-11-09,0.3753362246569,0.345372222615868,0.277411270454181,198.098800082398,0.345372222615868,0.345372222615868,0.352932052630885
2016-11-10,0.400805253427366,0.347644077614533,0.250844394423731,164.592926457202,0.347644077614533,0.347644077614533,0.349923107288025
2016-11-11,0.408103818059864,0.342860802480037,0.249098826189966,164.175518396138,0.342860802480037,0.342860802480037,0.348581919130793
2016-11-12,0.439636641100829,0.340498329699085,0.219158815079592,147.516654232768,0.340498329699085,0.340498329699085,0.344392950708415
2016-11-21,0.420620818514632,0.338862680096706,0.238516078579669,198.740139408128,0.338862680096706,0.338862680096706,0.343707688504996
2016-11-22,0.392545745298448,0.342126826347839,0.265327428353713,180.874742854916,0.342126826347839,0.342126826347839,0.343707688504996
2016-12-01,0.412294873812271,0.3382165348808,0.246588448720659,250.926935303828,0.3382165348808,0.3382165348808,0.3425736202411
2016-12-02,0.33887018570917,0.33756920182304,0.324187234635678,290.121860324636,0.33756920182304,0.33756920182304,0.340775447156228
2016-12-03,0.352092461186419,0.337853676660372,0.310338863901171,244.712825659113,0.337853676660372,0.337853676660372,0.340437088028655
2016-12-04,0.363986516272148,0.338161487989577,0.297851995738275,193.730601030529,0.338161487989577,0.338161487989577,0.341508888389384
2016-12-05,0.394423434588364,0.339282582638005,0.265561008163649,261.688568422166,0.339282582638005,0.339282582638005,0.341597395311807
2016-12-06,0.400841749552827,0.34040253594485,0.25782913910101,242.110539677591,0.34040253594485,0.34040253594485,0.341429203395198
2016-12-07,0.391093456785024,0.338909551314179,0.268487887647909,250.198938432716,0.338909551314179,0.338909551314179,0.341429203395198
2016-12-09,0.374213626721948,0.338799411840211,0.285995752978445,235.768260432644,0.338799411840211,0.338799411840211,0.341429203395198
2016-12-10,0.352009773992992,0.339083031970198,0.309128774710407,243.026901760139,0.339083031970198,0.339083031970198,0.341695713402514
2016-12-11,0.367837379964468,0.340162084992975,0.291233337733161,182.272866078562,0.340162084992975,0.340162084992975,0.341664027155132
2016-12-12,0.38023560799591,0.339548688824082,0.280917615037678,262.214473614618,0.339548688824082,0.339548688824082,0.341695713402514
